"log2FoldChange","padj","GeneID"
1.22004594219279,2.20760774315978e-08,"Klf6"
1.67864434528325,3.78434853897262e-11,"Gmpr"
5.20297768755134,0.0431194700492561,"Grasp"
-1.71657406396612,5.99388783069103e-06,"Gpa33"
-1.1586044477794,0.000695551649057787,"Myo18a"
7.14431238074324,0.0083176293721122,"Sult5a1"
3.63067172370174,0.00703948294581032,"Mmp11"
-5.01632846739601,0.000227434980962879,"Timp1"
3.68038590129097,0.000276897449265317,"Uhrf1"
8.29671236501864,4.93767101532892e-08,"Ube2c"
-7.24229702237991,0.00110230515800225,"Tbx21"
-2.17298567341647,1.40335092540511e-10,"Cyp51"
-1.69947803041458,2.38975435160451e-19,"Akr1b3"
1.81320641376728,0.00968348562999608,"Naglu"
4.38938011661375,0.00745675289866263,"Aif1l"
-5.97724389819876,0.0112122160206416,"Ltbp2"
7.58247869398042,0.012594765786498,"Hsf2bp"
1.06565640248744,3.74652202035859e-05,"Celf2"
1.04347968155616,0.00991404071725564,"Smg9"
7.95940323992492,0.00409538606102434,"Ppm1j"
1.07956025429572,0.046545979540558,"Angptl4"
7.12062034389593,0.0437846949609792,"Bmp8b"
2.21487273265574,0.013959555351095,"Axl"
1.31576465902436,0.00343697882789861,"Lamb1"
-3.11816469396608,5.81266936054654e-05,"Prkar2b"
1.62113911038173,4.65941218328874e-13,"Hmgn2"
1.0049324133212,0.000450451858434651,"Pld3"
1.85155976598884,2.97962228847431e-05,"Rab3b"
-3.08085106666623,3.5798148778102e-30,"St8sia6"
1.38341300317858,0.0113647440102907,"Impdh1"
1.09849239188188,5.13093568565998e-06,"Fosb"
3.05597643983466,0.0012763599386089,"Crtc1"
-1.8459506654291,2.65200054435981e-05,"Man1a"
-2.20736943061174,2.4385308595324e-52,"Nqo1"
1.01451699153913,0.000377148444716602,"Cavin1"
2.37957042020353,0.000390351617669041,"Bid"
-1.0598216896162,9.32950403345885e-16,"Ctse"
9.08417067461706,1.85304765832166e-05,"Nes"
5.88052721135947,0.0448735393673508,"Matk"
-4.00702312273679,8.68791885755033e-15,"Fxyd4"
-1.64860473840109,3.02626003267256e-12,"Cd44"
1.38446290237741,0.0324450049985367,"Eif2ak4"
-7.88780901212405,1.3602349758177e-09,"Prg4"
4.28216292099076,1.06871416414466e-14,"Upk3bl"
1.81391845039677,0.000230946578236289,"Fblim1"
-1.45086515470886,0.000264271148966839,"Crip1"
-1.37340555308569,0.00656203491773135,"Gcat"
4.88427430517578,9.0792845926883e-11,"Cdc20"
-1.2014027282402,1.4989195820587e-06,"Krt23"
1.28839591268155,0.00299364307522552,"Ddah2"
-1.07747507386939,0.0372999811383199,"Bmp7"
-1.69492313864867,6.69625961563676e-24,"Pttg1ip"
-1.2131029682291,0.00388721806721516,"Aldh3a2"
-1.19392526068199,0.0027739585980413,"Hyal1"
7.43890398218563,0.0175344709626948,"Slc38a3"
-1.21216839049774,0.0440672100008276,"Slc47a1"
1.38422879752594,1.44943412093449e-05,"Plcd1"
6.90824248122155,0.0271629687348699,"Scarf2"
7.79792382003202,0.00675376532748651,"Ubxn11"
1.56740337805268,0.000566332837048501,"Tjap1"
-9.84138513394943,3.20516612168965e-11,"Steap4"
7.01888546041557,1.13757875650612e-06,"Kif11"
3.76509898554017,0.0105424315446167,"Igf2bp1"
7.0021531128195,0.0490838031014454,"Card14"
-7.80250765787626,2.75720227260799e-11,"Aldh1a2"
1.16488467669285,0.0108769966590609,"Med16"
7.78593987763252,0.0343586923072794,"Clic3"
7.22097337669632,0.000157987452016074,"Ace2"
2.64482487000188,0.0172767778538126,"Ager"
-3.40760052237432,0.000494797139526801,"Itga2"
4.33944061638872,0.000208150631092453,"Anxa9"
-1.07036414056923,0.0172460488297517,"Eps8"
1.37647870820509,0.000168145266857063,"Lta4h"
1.69592674729741,1.16728215512351e-05,"Mpped2"
-5.25492806762105,7.1984248309494e-07,"Cd34"
8.19286605885101,3.39581801208583e-05,"Dyrk3"
-1.37727855192942,6.80157487415957e-05,"Bik"
-11.1184433009865,1.6687269518057e-46,"Slpi"
1.06316573986769,0.00010856342740988,"Rnd3"
1.17368663972866,0.00332843749738912,"Nt5c3b"
1.22286836535532,7.01357767450926e-06,"Arl5b"
1.63005337448376,0.00968348562999608,"Crlf3"
3.61308518361445,3.78434853897262e-11,"Birc5"
-4.60633542409054,0.000970826206243758,"Mybl2"
-7.09970846854261,2.45396409687598e-12,"Ptgis"
-2.0021673973684,0.000146560380539335,"Ikzf3"
-1.33033068442844,0.0190187542672332,"Zcchc10"
-1.23829341604348,0.0187872105041821,"Mtmr4"
1.19013504864147,5.24826383265799e-06,"Chd3"
-4.2498356823327,0.0175344709626948,"P4ha2"
-7.43231780303579,7.18824206993626e-24,"Aldh3a1"
2.95478386632273,0.00127880218767756,"Ap4m1"
1.06741473261849,5.51648435195579e-11,"Pdk4"
3.11367451672648,0.0247011704197399,"Syne4"
-1.91296368177479,0.000135821150644846,"Esr1"
3.18078480858078,0.0203440948373405,"Cep57l1"
1.04535132549976,3.80296987701899e-05,"Utrn"
1.01745319076913,0.0397549490932076,"Traf3ip2"
2.09471441130669,0.00712616595496867,"Mtfr2"
2.67541489588986,0.0114683327376565,"Socs2"
-2.11975456002528,0.000210519768420733,"Pbld2"
-1.36539606766158,8.26962282529618e-07,"Ppa1"
-2.73512653514434,6.76846261374458e-06,"Unc5b"
-3.01933831266392,0.00424827146873367,"Slc1a4"
1.265628837477,0.00845988826566212,"Tcf3"
2.23017347659705,0.00134169448189877,"Cpm"
1.12427194584555,0.0396027547636632,"Fzr1"
-1.63501678080475,1.18530013420146e-09,"Cpeb4"
3.34840620618518,0.048712873166896,"Hmmr"
1.68362306396481,0.0400960903492846,"Igfbp3"
-2.53708217289344,0.0400402765566684,"Aebp1"
-2.62506798054878,0.0106284433643686,"4-Sep"
1.1426502150815,0.000519426025261696,"Rnf187"
1.39559183052079,0.00212691007145652,"Ppm1d"
-1.09162003261237,0.000621260939875168,"Srebf1"
1.17214486780252,7.15541020933101e-05,"Bzw2"
1.23441191631172,0.0161394108363651,"Agr2"
-1.93067082882356,0.014071438978078,"Lpin1"
3.69739810613505,0.00102663024146181,"Rgs9"
4.81904231203312,0.000280036609338209,"Arsg"
1.23853033625839,0.000467174905655998,"Rrm2"
1.70950862969236,4.09249636394624e-06,"Klf11"
1.35673533598026,1.51117139108236e-05,"Dnmt3a"
1.09050380112731,0.0330586649724215,"Exoc7"
9.23990757196391,0.0222234451003757,"Pimreg"
7.82702719518633,0.000318944067411253,"Spata20"
1.06305518632423,0.000671578921972744,"Fbxl20"
-1.06764324207582,0.0176516834206708,"Adprm"
7.55690096839012,2.81553381358632e-10,"Top2a"
1.12564541098288,3.70581749141117e-05,"Dcakd"
1.01302974595393,0.000613586175359028,"Klhdc2"
1.25232468134686,0.00936303261560916,"Mbip"
-1.60673377721934,0.0144458475971524,"Sgpp1"
-3.88128515593172,0.0186432858254697,"Rtn1"
-10.3125129064678,4.23298042932669e-13,"Serpina3n"
-1.37599349411786,0.0147445045277815,"Arg2"
-1.15504652771238,0.00754412831724781,"Esyt2"
8.2667900970735,6.18700645234653e-05,"Efcab11"
-1.62737525451004,0.0364729053336306,"Tc2n"
-1.42347828099034,2.4262694818365e-09,"Entpd5"
-1.18691387021347,9.18013200790369e-12,"Aldh6a1"
-2.74807055361259,0.039431138851431,"Angel1"
-1.80165832987972,3.38181588774103e-37,"Degs2"
-1.3356758622622,4.59183610679377e-10,"Fdft1"
1.49075407873881,0.000530433848810814,"Kif13a"
7.33548367834653,0.0224600774805475,"Eci3"
-4.63682812591464,7.77981610476777e-21,"Slc25a48"
1.4789461025741,0.01650365746982,"Dapk1"
2.09553615576869,0.00403373273056484,"Rhobtb3"
6.65471361673796,0.0277931935503767,"Tert"
1.20370305803467,0.0238185470901582,"Arhgef28"
-1.12944862270249,0.0137497046158498,"Hmgcr"
-5.15544149487788,0.00414177793741282,"Iqgap2"
-1.15058297483858,0.0235602374025159,"Elovl7"
-7.70222057501089,0.00320874541848823,"Rgs7bp"
1.04913843244265,0.0156923517006887,"4930452B06Rik"
-3.05196096968091,8.11953311710103e-12,"Thrb"
-2.80697204895812,0.000949156645969855,"Plau"
1.32254371415328,0.0317461747638244,"Vcl"
4.68139438288142,0.00453577449179224,"Peli2"
-1.27373228377731,3.46849839337746e-18,"Rnase4"
-1.2415269513205,2.45892989974664e-05,"Wnt5a"
-1.13585530575122,3.60505083002258e-13,"Esd"
1.13362532491285,1.14034621774585e-07,"Tsc22d1"
8.83780720791698,0.000166896631890396,"Pbk"
6.75568644702611,0.0374151077187048,"Esco2"
-2.2102509778928,4.76111602530992e-08,"Clu"
-1.4840343715423,0.00231827145848064,"Osmr"
4.15178513367652,0.0119173078300922,"Tgm1"
-1.81745371966118,0.00247301289765833,"Rrm2b"
8.37713553107142,8.52144857670057e-06,"Shcbp1"
7.60675907904618,0.00265026238060012,"Zfat"
1.00623223865486,0.00349651451192259,"Myc"
-1.02599747923499,0.000273136229623941,"Sqle"
5.71401343711964,0.00261872123884179,"C1qtnf6"
7.54114237535854,0.0156923517006887,"Slc38a4"
2.08474958974232,0.000513210624005724,"Anks3"
7.53165796517451,0.0014438731525198,"Srl"
-1.7643246252256,7.58463218059083e-22,"Ly6e"
7.06757384372302,0.039431138851431,"Lypd2"
1.62424872345754,2.41208228557334e-07,"Psca"
1.23819847878698,0.0307700748062041,"Mapk12"
6.60764234932629,0.0339536987727084,"Morc1"
-3.61763870293269,3.07121148753239e-08,"Ccdc80"
-1.76454931993941,0.000563322586391151,"Crybg3"
-1.25628493741581,0.0475440538744614,"Cpox"
-7.71054664273376,0.00720680553059324,"Tmem45a"
1.72666147421632,0.00474608064100595,"Eaf2"
4.16519356234977,0.000747625568339948,"Pdia5"
1.90358137403538,1.16303291385274e-09,"Adamts1"
9.27497435752315,3.85376489154097e-09,"Clic6"
-1.53610821889546,1.45672585261156e-06,"Rcan1"
3.78614469092639,1.5193700425492e-11,"Racgap1"
4.61798274814984,0.00236801352813674,"Npff"
2.06066943082751,0.000120800955084204,"Fhl1"
-1.25799899405661,0.00273501287102343,"Wrb"
-4.21865030535895,0.0455922181176445,"Serping1"
3.91697575656624,0.0005977084241713,"Cdca3"
1.67106822764841,0.0199859119230766,"C1qtnf12"
10.0524979609322,6.80444292507537e-10,"Agpat4"
-1.20481441579473,0.0448195098308099,"Zfp54"
7.41328841733667,0.0132209693241376,"Thbs2"
-1.29386001661587,0.000856013823930363,"Zfp51"
-11.9662053969757,0.013892426191077,"Trem2"
