"","Upk3bl","Upk1a","Upk3a","Upk2","Upk3b","Upk1b"
"Upk3bl",1,0.0354353201294018,-0.506266892658335,0.823872093121773,-0.632901590388447,0.849887289413317
"Upk1a",0.0354353201294018,1,0.531459026603023,0.114418706476034,-0.0254983582081243,0.142057229530723
"Upk3a",-0.506266892658335,0.531459026603023,1,-0.0429903054191679,-0.0258418468399256,-0.104951095132268
"Upk2",0.823872093121773,0.114418706476034,-0.0429903054191679,1,-0.633874261704844,0.978678402556247
"Upk3b",-0.632901590388447,-0.0254983582081243,-0.0258418468399256,-0.633874261704844,1,-0.622162716358125
"Upk1b",0.849887289413317,0.142057229530723,-0.104951095132268,0.978678402556247,-0.622162716358125,1
